TITLE;DESCRIPTION;VERSION;CREATION;UPDATE
"Search Services";"API for Internet Archive's Search-related services";"";24-02-2018 16:36:17;24-02-2018 16:36:17
"Wayback";"API for Internet Archive's Wayback Machine";"";24-02-2018 16:36:17;24-02-2018 16:36:17
"ART19 Content";"The ART19 Content API conforms to the JSON-API spe";"ART19 Engineering Team";26-11-2017 17:28:52;26-11-2017 17:28:52
"Business Registries";"# Introduction
The Business Registries API is buil";"";06-09-2017 11:44:38;06-09-2017 11:44:38
"Auckland Museum";"This is technical documentation for the Auckland M";"Auckland Museum API Team";04-09-2017 12:49:06;04-09-2017 12:49:06
"Authentiq Connect";"Authentiq Connect OAuth 2.0 and OpenID Connect API";"Team Authentiq";15-03-2017 14:45:58;03-10-2017 18:37:39
"Avaza";"Welcome to the autogenerated documentation & test ";"";21-11-2017 11:17:54;19-02-2018 08:08:39
"AviationData.Systems Airports API V1";"";"";26-11-2017 17:48:04;26-11-2017 17:48:04
"AdvisorManagementClient";"REST APIs for Azure Advisor";"";24-04-2017 10:15:00;19-02-2018 08:59:16
"AzureAnalysisServices";"The Azure Analysis Services Web API provides a RES";"";02-10-2016 08:32:49;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on e";"";04-12-2017 09:12:06;19-02-2018 08:59:16
"ApiManagementClient";"Use these REST APIs for performing operations on A";"";02-01-2018 11:52:51;19-02-2018 08:59:16
"ApiManagementClient";"Use these REST APIs for managing OAuth2 servers co";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on B";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs for performing operations on C";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"ApiManagementClient";"Use these REST APIs to manage Azure API Management";"";04-12-2017 09:12:06;19-02-2018 08:41:37
